Cancer,Feature,Display,Category,Method,Source,Canonical,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,P_label,FDR_label,Feature_Display,Center,Spread,Low_Z,High_Z,Diff_Z,FDR_star
ACC,CAF,CAF,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/ACC/ACC_TIDE_score_long.csv,CAF,39,40,0.0782312384547418,0.0800355111358811,0.00180427268113931,0.424189960137629,0.720083838120083,ns,P=0.424,FDR=0.72,CAF,0.0394390710931143,0.0312357940078499,1.24191391939256,1.2996769037651,0.0577629843725398,""
ACC,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),EPITHELIALMESENCHYMALTRANSITION,39,40,0.127415299504246,0.151367337256806,0.0239520377525605,0.514345598657202,0.720083838120083,ns,P=0.514,FDR=0.72,EMT,0.266999790790937,0.124680700020625,-1.11953567202944,-0.927428651868354,0.192107020161082,""
ACC,Endothelial_cells_MCPcounter,Endothelial Cells,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),ENDOTHELIALCELLS,39,40,8.36548,11.27619,2.91071,0.00481480942493943,0.033703665974576,**,P=0.00481,FDR=0.0337,Endothelial cells,2.33387776121578e-23,3.46020716877851e-23,2.41762402999503e+23,3.25881932785563e+23,8.41195297860594e+22,*
ACC,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/ACC/ACC_TIDE_score_long.csv,EXCLUSION,39,40,0.744215327579744,0.798608360210599,0.054393032630855,0.0169535318126705,0.0791164817924624,*,P=0.017,FDR=0.0791,Exclusion score,0.518559332003667,0.260469451282052,0.866343421331675,1.07517033889582,0.208826917564144,""
ACC,Fibroblasts_MCPcounter,Fibroblasts,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),FIBROBLASTS,39,40,25.723075,45.82009375,20.09701875,0.000841177407239029,0.0117764837013464,***,P=8.41e-04,FDR=0.0118,Fibroblasts,1.197275,1.775079915,13.8167300484609,25.1384843988841,11.3217543504231,*
ACC,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),TGFBETASIGNALING,39,40,0.388403813543365,0.412510036211939,0.0241062226685746,0.757410595240049,0.891918361070987,ns,P=0.757,FDR=0.892,TGF-beta signaling,0.409022218252099,0.142799140816971,-0.144387456330438,0.0244246424725336,0.168812098802972,""
BLCA,CAF,CAF,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/BLCA/BLCA_TIDE_score_long.csv,CAF,203,203,0.0336569300831723,0.0350205190395793,0.001363588956407,0.364533934296813,0.637934385019423,ns,P=0.365,FDR=0.638,CAF,0.0394390710931143,0.0312357940078499,-0.185112663007345,-0.141457971339692,0.0436546916676527,""
BLCA,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),EPITHELIALMESENCHYMALTRANSITION,212,219,0.250662264234005,0.210793779620123,-0.039868484613882,0.0959221762167222,0.335727616758528,ns,P=0.0959,FDR=0.336,EMT,0.266999790790937,0.124680700020625,-0.131034928054056,-0.450799611820564,-0.319764683766508,""
BLCA,Endothelial_EPIC,Endothelial,Immune exclusion,EPIC,IOBR::deconvo_tme(method='epic'),ENDOTHELIAL,212,219,0.0558728211697923,0.0408759813804576,-0.0149968397893347,1.21577682095002e-07,1.70208754933003e-06,****,P=1.22e-07,FDR=1.70e-06,Endothelial cells,2.33387776121578e-23,3.46020716877851e-23,1.61472473885187e+21,1.18131601336712e+21,-4.33408725484745e+20,****
BLCA,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/BLCA/BLCA_TIDE_score_long.csv,EXCLUSION,203,203,0.460862003971505,0.522891216989749,0.062029213018244,0.019171447466094,0.134200132262658,*,P=0.0192,FDR=0.134,Exclusion score,0.518559332003667,0.260469451282052,-0.221512840558348,0.0166310673469023,0.23814390790525,""
BLCA,Fibroblasts_xCell,Fibroblasts,Immune exclusion,xCell,IOBR::deconvo_tme(method='xcell'),FIBROBLASTS,212,219,3.98682072968096e-22,5.05231946741075e-22,1.06549873772979e-22,0.660107229086233,0.840136473382478,ns,P=0.66,FDR=0.84,Fibroblasts,1.197275,1.775079915,-0.674490759476595,-0.674490759476595,0,""
BLCA,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),TGFBETASIGNALING,212,219,0.350846551216527,0.364672762915886,0.0138262116993594,0.120656914605958,0.337839360896684,ns,P=0.121,FDR=0.338,TGF-beta signaling,0.409022218252099,0.142799140816971,-0.407395077468552,-0.3105722841362,0.0968227933323519,""
BRCA,CAF,CAF,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/BRCA/BRCA_TIDE_score_long.csv,CAF,547,548,0.0740706348236289,0.0890250461480717,0.0149544113244428,3.02433300219293e-05,0.000141135540102337,****,P=3.02e-05,FDR=1.41e-04,CAF,0.0394390710931143,0.0312357940078499,1.10871405163613,1.58747285381943,0.47875880218331,***
BRCA,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),EPITHELIALMESENCHYMALTRANSITION,605,621,0.391706336918605,0.362419807167523,-0.0292865297510823,0.00014148878084461,0.000408787325452691,***,P=1.41e-04,FDR=4.09e-04,EMT,0.266999790790937,0.124680700020625,1.00020729837929,0.765315051654356,-0.234892246724933,***
BRCA,Endothelial_EPIC,Endothelial,Immune exclusion,EPIC,IOBR::deconvo_tme(method='epic'),ENDOTHELIAL,605,621,0.0594085892366407,0.0491337746228231,-0.0102748146138175,0.00647961667100681,0.0151191055656826,**,P=0.00648,FDR=0.0151,Endothelial cells,2.33387776121578e-23,3.46020716877851e-23,1.71690844908609e+21,1.41996626867194e+21,-2.96942180414149e+20,*
BRCA,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/BRCA/BRCA_TIDE_score_long.csv,EXCLUSION,547,548,0.699165321903578,0.859688108154711,0.160522786251133,2.80336115802264e-10,1.96235281061585e-09,****,P=2.80e-10,FDR=1.96e-09,Exclusion score,0.518559332003667,0.260469451282052,0.693386456687929,1.30966903977407,0.616282583086141,****
BRCA,Fibroblasts_xCell,Fibroblasts,Immune exclusion,xCell,IOBR::deconvo_tme(method='xcell'),FIBROBLASTS,605,621,0,2.14817821494694e-22,2.14817821494694e-22,0.000145995473375961,0.000408787325452691,***,P=1.46e-04,FDR=4.09e-04,Fibroblasts,1.197275,1.775079915,-0.674490759476595,-0.674490759476595,0,***
BRCA,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),TGFBETASIGNALING,605,621,0.217759638134322,0.260828482929497,0.043068844795175,1.02682300559526e-16,1.43755220783336e-15,****,P=1.03e-16,FDR=1.44e-15,TGF-beta signaling,0.409022218252099,0.142799140816971,-1.33938186899124,-1.03777749974383,0.301604369247413,****
CESC,CAF,CAF,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/CESC/CESC_TIDE_score_long.csv,CAF,152,152,0.014489927398224,0.0237886248957101,0.0092986974974861,4.58248664048416e-07,3.20774064833891e-06,****,P=4.58e-07,FDR=3.21e-06,CAF,0.0394390710931143,0.0312357940078499,-0.798735696893771,-0.501042047897711,0.29769364899606,****
CESC,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),EPITHELIALMESENCHYMALTRANSITION,155,154,0.213956168367099,0.173876587723072,-0.040079580644027,0.0854686510431618,0.239312222920853,ns,P=0.0855,FDR=0.239,EMT,0.266999790790937,0.124680700020625,-0.425435712304016,-0.746893489148362,-0.321457776844346,""
CESC,Endothelial_cells_MCPcounter,Endothelial Cells,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),ENDOTHELIALCELLS,155,154,5.64507,7.20554333333333,1.56047333333333,3.38729232773567e-05,0.000158073641960998,****,P=3.39e-05,FDR=1.58e-04,Endothelial cells,2.33387776121578e-23,3.46020716877851e-23,1.63142543918628e+23,2.08240229034522e+23,4.50976851158943e+22,***
CESC,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/CESC/CESC_TIDE_score_long.csv,EXCLUSION,152,152,0.156277404676518,0.432113830534413,0.275836425857895,2.25360026047305e-11,3.15504036466226e-10,****,P=2.25e-11,FDR=3.16e-10,Exclusion score,0.518559332003667,0.260469451282052,-1.39088067926571,-0.331883455214274,1.05899722405144,****
CESC,Fibroblasts_MCPcounter,Fibroblasts,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),FIBROBLASTS,155,154,99.53005,107.8492375,8.31918749999998,0.309829300598776,0.542201276047858,ns,P=0.31,FDR=0.542,Fibroblasts,1.197275,1.775079915,55.396252399149,60.0829075912337,4.68665519208469,""
CESC,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),TGFBETASIGNALING,155,154,0.414465284344895,0.443720990012582,0.0292557056676872,0.000147327005508786,0.000515644519280751,***,P=1.47e-04,FDR=5.16e-04,TGF-beta signaling,0.409022218252099,0.142799140816971,0.0381169386710246,0.24299005975783,0.204873121086805,***
CHOL,CAF,CAF,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/CHOL/CHOL_TIDE_score_long.csv,CAF,17,18,0.0377222298229398,0.0720156107972408,0.034293380974301,0.0199734244781227,0.18124205382779,*,P=0.02,FDR=0.181,CAF,0.0394390710931143,0.0312357940078499,-0.0549639067840884,1.04292337489291,1.097887281677,""
CHOL,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),EPITHELIALMESENCHYMALTRANSITION,20,23,0.338846444214343,0.411403950704662,0.0725575064903183,0.237627343263152,0.354541509203213,ns,P=0.238,FDR=0.355,EMT,0.266999790790937,0.124680700020625,0.576245188000395,1.15819176416107,0.581946576160675,""
CHOL,Endothelial_cells_MCPcounter,Endothelial Cells,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),ENDOTHELIALCELLS,20,23,7.51673333333333,10.5550233333333,3.03829,0.06967492273697,0.244881960640949,ns,P=0.0697,FDR=0.245,Endothelial cells,2.33387776121578e-23,3.46020716877851e-23,2.17233621187682e+23,3.05040213446507e+23,8.78065922588248e+22,""
CHOL,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/CHOL/CHOL_TIDE_score_long.csv,EXCLUSION,17,18,0.398698815234125,0.612367170364192,0.213668355130067,0.0258917219753985,0.18124205382779,*,P=0.0259,FDR=0.181,Exclusion score,0.518559332003667,0.260469451282052,-0.46017111096744,0.360149099630668,0.820320210598108,""
CHOL,Fibroblasts_MCPcounter,Fibroblasts,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),FIBROBLASTS,20,23,120.88816875,171.267075,50.37890625,0.168904642985915,0.343825822942314,ns,P=0.169,FDR=0.344,Fibroblasts,1.197275,1.775079915,67.4284536366916,95.8096582372744,28.3812046005827,""
CHOL,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),TGFBETASIGNALING,20,23,0.550091835192507,0.639558559273555,0.0894667240810477,0.100264322605566,0.280740103295585,ns,P=0.1,FDR=0.281,TGF-beta signaling,0.409022218252099,0.142799140816971,0.987888415387736,1.61440986060931,0.626521445221576,""
COAD,CAF,CAF,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/COAD/COAD_TIDE_score_long.csv,CAF,228,228,0.0137858700823793,0.0169927936818846,0.00320692359950525,0.118166756730065,0.219266209989556,ns,P=0.118,FDR=0.219,CAF,0.0394390710931143,0.0312357940078499,-0.821275777535479,-0.718607550222308,0.10266822731317,""
COAD,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),EPITHELIALMESENCHYMALTRANSITION,264,257,0.259830551873685,0.244939395181225,-0.0148911566924606,0.807989336312854,0.870142362183073,ns,P=0.808,FDR=0.87,EMT,0.266999790790937,0.124680700020625,-0.0575007913499528,-0.17693512793931,-0.119434336589357,""
COAD,Endothelial_cells_MCPcounter,Endothelial Cells,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),ENDOTHELIALCELLS,264,257,8.07370666666667,8.70372333333333,0.630016666666666,0.0758863297783984,0.212481723379516,ns,P=0.0759,FDR=0.212,Endothelial cells,2.33387776121578e-23,3.46020716877851e-23,2.33330152584962e+23,2.51537636586246e+23,1.82074840012849e+22,""
COAD,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/COAD/COAD_TIDE_score_long.csv,EXCLUSION,228,228,0.441234097156142,0.494867426609716,0.053633329453574,8.27423796107485e-05,0.00057919665727524,****,P=8.27e-05,FDR=5.79e-04,Exclusion score,0.518559332003667,0.260469451282052,-0.296868728624118,-0.0909584800725652,0.205910248551553,***
COAD,Fibroblasts_MCPcounter,Fibroblasts,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),FIBROBLASTS,264,257,180.975575,211.0503375,30.0747625,0.105181755526,0.219266209989556,ns,P=0.105,FDR=0.219,Fibroblasts,1.197275,1.775079915,101.278989458906,118.22175482167,16.942765362764,""
COAD,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),TGFBETASIGNALING,264,257,0.358322658546311,0.38372916175598,0.0254065032096699,0.0012341576050655,0.00575940215697234,**,P=0.00123,FDR=0.00576,TGF-beta signaling,0.409022218252099,0.142799140816971,-0.355041069685225,-0.177123310066258,0.177917759618968,**
DLBC,CAF,CAF,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/DLBC/DLBC_TIDE_score_long.csv,CAF,24,24,-0.00810501636975202,-0.00529600647743603,0.002809009892316,0.489717408759373,0.623276702057384,ns,P=0.49,FDR=0.623,CAF,0.0394390710931143,0.0312357940078499,-1.5221027341555,-1.43217353653017,0.0899291976253289,""
DLBC,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),EPITHELIALMESENCHYMALTRANSITION,24,24,0.299009217734882,0.268171472193936,-0.0308377455409459,0.642689171206276,0.726353008245686,ns,P=0.643,FDR=0.726,EMT,0.266999790790937,0.124680700020625,0.256731209711285,0.00939745608426307,-0.247333753627022,""
DLBC,Endothelial_cells_MCPcounter,Endothelial Cells,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),ENDOTHELIALCELLS,24,24,5.03706833333333,7.26611333333333,2.229045,0.00488406301054759,0.0683768821476662,**,P=0.00488,FDR=0.0684,Endothelial cells,2.33387776121578e-23,3.46020716877851e-23,1.45571293498923e+23,2.09990702258973e+23,6.44194087600506e+22,""
DLBC,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/DLBC/DLBC_TIDE_score_long.csv,EXCLUSION,24,24,0.0822805364833295,0.0348138640977944,-0.0474666723855352,0.451679909555962,0.623276702057384,ns,P=0.452,FDR=0.623,Exclusion score,0.518559332003667,0.260469451282052,-1.67497107001584,-1.85720615421439,-0.182235084198551,""
DLBC,Fibroblasts_MCPcounter,Fibroblasts,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),FIBROBLASTS,24,24,121.916,227.38626875,105.47026875,0.0296021509817769,0.171264767757629,*,P=0.0296,FDR=0.171,Fibroblasts,1.197275,1.775079915,68.0074874262774,127.424682031851,59.4171946055736,""
DLBC,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),TGFBETASIGNALING,24,24,0.491749754223702,0.574911199219324,0.0831614449956221,0.140399448734783,0.327598713714493,ns,P=0.14,FDR=0.328,TGF-beta signaling,0.409022218252099,0.142799140816971,0.579327967229413,1.16169453134069,0.582366564111279,""
ESCA,CAF,CAF,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/ESCA/ESCA_TIDE_score_long.csv,CAF,81,81,0.0177635023957093,0.0426174016159384,0.0248538992202291,1.50557546627949e-05,0.000105390282639565,****,P=1.51e-05,FDR=1.05e-04,CAF,0.0394390710931143,0.0312357940078499,-0.693933654830662,0.101752832728548,0.79568648755921,***
ESCA,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),EPITHELIALMESENCHYMALTRANSITION,87,84,0.273229556190749,0.338771098806297,0.0655415426155483,0.171554382843068,0.342975984261332,ns,P=0.172,FDR=0.343,EMT,0.266999790790937,0.124680700020625,0.0499657557166543,0.575640881094567,0.525675125377913,""
ESCA,Endothelial_EPIC,Endothelial,Immune exclusion,EPIC,IOBR::deconvo_tme(method='epic'),ENDOTHELIAL,87,84,0.0678082756254696,0.0441232025808168,-0.0236850730446528,0.000420327879821247,0.00196153010583249,***,P=4.20e-04,FDR=0.00196,Endothelial cells,2.33387776121578e-23,3.46020716877851e-23,1.9596594168495e+21,1.27516071809055e+21,-6.8449869875895e+20,**
ESCA,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/ESCA/ESCA_TIDE_score_long.csv,EXCLUSION,81,81,0.216250564242442,0.533015342408692,0.31676477816625,3.29710851843173e-10,4.61595192580442e-09,****,P=3.30e-10,FDR=4.62e-09,Exclusion score,0.518559332003667,0.260469451282052,-1.16063041663134,0.0554998305324165,1.21613024716376,****
ESCA,Fibroblasts_MCPcounter,Fibroblasts,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),FIBROBLASTS,87,84,181.35505,273.63165625,92.27660625,0.0115404734455002,0.0403916570592508,*,P=0.0115,FDR=0.0404,Fibroblasts,1.197275,1.775079915,101.492768566423,153.477248515879,51.9844799494562,*
ESCA,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),TGFBETASIGNALING,87,84,0.487207281489348,0.472731084555427,-0.0144761969339207,0.846871991115776,0.912015990432374,ns,P=0.847,FDR=0.912,TGF-beta signaling,0.409022218252099,0.142799140816971,0.547517742683481,0.446143204635837,-0.101374538047645,""
GBM,CAF,CAF,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/GBM/GBM_TIDE_score_long.csv,CAF,80,81,0.0931466481859121,0.100640595390732,0.0074939472048199,0.0437196721301536,0.143703297442052,*,P=0.0437,FDR=0.144,CAF,0.0394390710931143,0.0312357940078499,1.71942410297944,1.95933947708316,0.239915374103715,""
GBM,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),EPITHELIALMESENCHYMALTRANSITION,85,84,0.328161335357615,0.280489859081671,-0.0476714762759433,0.0016741001669317,0.00781246744568126,**,P=0.00167,FDR=0.00781,EMT,0.266999790790937,0.124680700020625,0.490545405636642,0.108196924532044,-0.382348481104597,**
GBM,Endothelial_cells_MCPcounter,Endothelial Cells,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),ENDOTHELIALCELLS,85,84,17.2484066666667,20.7483883333333,3.49998166666666,0.0615871274751651,0.143703297442052,ns,P=0.0616,FDR=0.144,Endothelial cells,2.33387776121578e-23,3.46020716877851e-23,4.98479016583148e+23,5.99628499719504e+23,1.01149483136356e+23,""
GBM,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/GBM/GBM_TIDE_score_long.csv,EXCLUSION,80,81,0.67309847037795,0.918981187142366,0.245882716764417,4.48153586511335e-10,6.27415021115869e-09,****,P=4.48e-10,FDR=6.27e-09,Exclusion score,0.518559332003667,0.260469451282052,0.593310031612648,1.5373083222151,0.943998290602451,****
GBM,Fibroblasts_xCell,Fibroblasts,Immune exclusion,xCell,IOBR::deconvo_tme(method='xcell'),FIBROBLASTS,85,84,3.55186394121176e-24,3.5331914169658e-22,3.49767277755368e-22,0.102238551285916,0.178917464750352,ns,P=0.102,FDR=0.179,Fibroblasts,1.197275,1.775079915,-0.674490759476595,-0.674490759476595,0,""
GBM,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),TGFBETASIGNALING,85,84,0.279071138981805,0.354040950789353,0.0749698118075476,2.17320389848984e-05,0.000152124272894289,****,P=2.17e-05,FDR=1.52e-04,TGF-beta signaling,0.409022218252099,0.142799140816971,-0.910027038866122,-0.385025197968224,0.525001840897899,***
HNSC,CAF,CAF,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/HNSC/HNSC_TIDE_score_long.csv,CAF,251,251,0.0190257718902388,0.0356902350814383,0.0166644631911995,9.55151390295917e-10,6.68605973207142e-09,****,P=9.55e-10,FDR=6.69e-09,CAF,0.0394390710931143,0.0312357940078499,-0.653522660501135,-0.12001731125304,0.533505349248095,****
HNSC,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),EPITHELIALMESENCHYMALTRANSITION,275,272,0.303468388408887,0.335020600028086,0.0315522116191985,0.377372572611795,0.440268001380428,ns,P=0.377,FDR=0.44,EMT,0.266999790790937,0.124680700020625,0.29249593250533,0.545560052405037,0.253064119899708,""
HNSC,Endothelial_cells_MCPcounter,Endothelial Cells,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),ENDOTHELIALCELLS,275,272,7.78648666666667,9.28713,1.50064333333333,8.91347799031088e-07,4.15962306214508e-06,****,P=8.91e-07,FDR=4.16e-06,Endothelial cells,2.33387776121578e-23,3.46020716877851e-23,2.25029493520626e+23,2.68398091414811e+23,4.33685978941854e+22,****
HNSC,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/HNSC/HNSC_TIDE_score_long.csv,EXCLUSION,251,251,0.14876003468135,0.420716671568538,0.271956636887188,3.58717888446257e-16,5.0220504382476e-15,****,P=3.59e-16,FDR=5.02e-15,Exclusion score,0.518559332003667,0.260469451282052,-1.41974153015693,-0.375639676566825,1.0441018535901,****
HNSC,Fibroblasts_MCPcounter,Fibroblasts,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),FIBROBLASTS,275,272,242.4159875,324.72859375,82.31260625,0.0217062719621512,0.0506479679116862,*,P=0.0217,FDR=0.0506,Fibroblasts,1.197275,1.775079915,135.891748006174,182.262959552444,46.37121154627,""
HNSC,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),TGFBETASIGNALING,275,272,0.293141242374613,0.308890075402149,0.0157488330275354,0.136128579921236,0.211755568766368,ns,P=0.136,FDR=0.212,TGF-beta signaling,0.409022218252099,0.142799140816971,-0.811496310233505,-0.701209701102419,0.110286609131085,""
KICH,CAF,CAF,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/KICH/KICH_TIDE_score_long.csv,CAF,32,33,0.0408415741355291,0.046945908366169,0.0061043342306399,0.107967606834088,0.188943311959654,ns,P=0.108,FDR=0.189,CAF,0.0394390710931143,0.0312357940078499,0.0449005087580737,0.240328043883508,0.195427535125434,""
KICH,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),EPITHELIALMESENCHYMALTRANSITION,42,47,-0.0894397185551394,-0.0488545598447353,0.040585158710404,0.158692323526917,0.246854725486315,ns,P=0.159,FDR=0.247,EMT,0.266999790790937,0.124680700020625,-2.85881864063253,-2.53330588121034,0.325512759422191,""
KICH,Endothelial_cells_MCPcounter,Endothelial Cells,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),ENDOTHELIALCELLS,42,47,10.24672,16.8613933333333,6.61467333333333,0.00440320619534251,0.0308224433673975,**,P=0.0044,FDR=0.0308,Endothelial cells,2.33387776121578e-23,3.46020716877851e-23,2.96130245970712e+23,4.87294329815679e+23,1.91164083844967e+23,*
KICH,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/KICH/KICH_TIDE_score_long.csv,EXCLUSION,32,33,0.27861905382491,0.287284157235268,0.00866510341035798,0.245535637547122,0.343749892565971,ns,P=0.246,FDR=0.344,Exclusion score,0.518559332003667,0.260469451282052,-0.921183950738754,-0.887916696679948,0.0332672540588067,""
KICH,Fibroblasts_MCPcounter,Fibroblasts,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),FIBROBLASTS,42,47,38.09915,53.5801,15.48095,0.0165881820432169,0.0774115162016789,*,P=0.0166,FDR=0.0774,Fibroblasts,1.197275,1.775079915,20.7888527655387,29.5101220837148,8.72126931817602,""
